staff,ID,Name,Type,Category,image url,description,TAG,Googlemap
tae,A001,Wat Phra Kaew,Attraction,Temple,,"The Emerald Buddha temple, a must-see royal landmark.","Majestic, Royal, Traditional",https://maps.app.goo.gl/pU7P4HZ5RJk6x6sf6
tae,R001,Thip Samai Pad Thai,Restaurant,Street Food,,"The most famous Pad Thai in Bangkok with ""Superb"" recipe.","Savory, Sweet, Iconic",https://maps.app.goo.gl/YU5upZ9jD5VY5qN9A
tae,A002,Wat Arun,Attraction,Temple,,"The stunning Riverside ""Temple of Dawn"" with porcelain decor.","Scenic, Riverside, Iconic",https://maps.app.goo.gl/LmGmQbqQ7dhZP5fH9
tae,R002,Jay Fai,Restaurant,Street Food,,Legendary Michelin-starred Crab Omelette by a local icon.,"Smoky, Premium, Local",https://maps.app.goo.gl/Wa3RsPmqQiT7nDSr5
tae,A003,Museum Siam,Attraction,Museum,,"Interactive museum explaining the history of ""Thainess"".","Creative, Educational, Hip",https://maps.app.goo.gl/rs64DWz1YJbrinHA7
tae,R003,Blue Whale Cafe,Restaurant,Cafe,,Famous blue butterfly pea latte in a cozy riverside house.,"Refreshing, Aesthetic, Chill",https://maps.app.goo.gl/51jdmW7kZaw86zuBA
tae,A004,Yaowarat Road,Attraction,Neighborhood,,"The vibrant heart of Chinatown, best for night street food.","Energetic, Neon, Vibrant",https://maps.app.goo.gl/rJweoZuqxAwNxyyv8
tae,R004,Nai Ek Roll Noodle,Restaurant,Street Food,,Famous crispy pork and peppery rolled noodles in Chinatown.,"Peppery, Savory, Busy",https://maps.app.goo.gl/5EnrQhCCWBjMyhfG8
tae,A005,Wat Saket,Attraction,Temple,,The Golden Mount with a panoramic view of Old Bangkok.,"Peaceful, Panoramic, Spiritual",https://maps.app.goo.gl/PKxfn7ZrwHK3BLJq9
tae,R005,Jeh O Chula,Restaurant,Street Food,,Late-night spicy MAMA Tom Yum noodles that worth the wait.,"Spicy, Intense, Night-life",https://maps.app.goo.gl/DH4iHBviFsnnvtf8A
tae,A006,Jim Thompson House,Attraction,Museum,,A beautiful complex of traditional Thai teak houses.,"Peaceful, Artistic, Classic",https://maps.app.goo.gl/Ce9WK1zSvQFqG7dr5
tae,R006,Sorn,Restaurant,Fine Dining,,Elite Southern Thai cuisine using rare local ingredients.,"Spicy, Southern, Fine-dining",https://maps.app.goo.gl/PCQF1aAJhCGekHKw6
tae,A007,ICONSIAM,Attraction,Shopping,,"World-class mall with ""SookSiam"" indoor floating market.","Luxury, Modern, Grand",https://maps.app.goo.gl/gcTm5gUmQ3w5q7nt7
tae,R007,Here Hai,Restaurant,Street Food,,"Insane Garlic Crab Meat and fried rice, Michelin Bib Gourmand.","Savory, Premium, Local",https://maps.app.goo.gl/CkmFDbSiDmeT6eA66
tae,A008,Chatuchak Market,Attraction,Market,,The world’s largest weekend market for everything you need.,"Adventurous, Busy, Diverse",https://maps.app.goo.gl/ggMkxSrXWPYFfN2N7
tae,R008,Pe Aor Tom Yum,Restaurant,Street Food,,Creamy Tom Yum Kung with giant river prawns.,"Sour, Spicy, Creamy",https://maps.app.goo.gl/q4bqbMSJk7Nn83Ka9
tae,A009,Erawan Shrine,Attraction,Cultural Site,,Famous Hindu shrine in the city center known for good luck.,"Spiritual, Holy, Central",https://maps.app.goo.gl/F8Cwrc3HSnPJa1fi7
tae,R009,Gaggan Anand,Restaurant,Fine Dining,,Progressive Indian cuisine voted best in Asia many times.,"Experimental, Playful, Unique",https://maps.app.goo.gl/cMFwKMKtXnqbe6Gw9
tae,A010,Benjakitti Park,Attraction,Park,,Modern green lung with skywalks and great skyline views.,"Calm, Green, Scenic",https://maps.app.goo.gl/nD1M9ezjNEmutzYj8
tae,R010,Somtum Der,Restaurant,Casual Dining,,Authentic Isan (Northeast) Thai food in a trendy setting.,"Spicy, Zesty, Isan",https://maps.app.goo.gl/W6NzwQpY7RdqVrpb6
tae,A011,Pak Khlong Talat,Attraction,Market,,Bangkok's biggest 24-hour flower and vegetable market.,"Colorful, Fresh, Fragrant",https://maps.app.goo.gl/Gi5UdnrtZhe1sGLE8
tae,R011,Le Du,Restaurant,Fine Dining,,"Modern Thai seasonal dishes, 1 Michelin Star & Asia's No.1.","Modern, Refined, Seasonal",https://maps.app.goo.gl/nv7UMxKwCq7Kz28K6
tae,A012,Wat Pho,Attraction,Temple,,Home to the giant Reclining Buddha and traditional massage.,"Traditional, Relaxing, Iconic",https://maps.app.goo.gl/zrpbYPk1nMBegdJk6
tae,R012,Taling Pling,Restaurant,Casual Dining,,Classic Thai home cooking in a beautiful garden house.,"Authentic, Sweet, Homestyle",https://maps.app.goo.gl/gNKWq5TFdEs8U8T97
tae,A013,Ong Ang Canal,Attraction,Cultural Site,,Renovated canal with street art and weekend night market.,"Hip, Artistic, Local",https://maps.app.goo.gl/pRcnguJKu3P47Xnh6
tae,R013,Polo Fried Chicken,Restaurant,Street Food,,Legendary fried chicken with tons of crispy golden garlic.,"Savory, Garlicky, Simple",https://maps.app.goo.gl/YPm7pP2suRrQYksj7
tae,A014,Mahanakhon Skywalk,Attraction,Viewpoint,,Thailand's highest observation deck with a glass tray floor.,"Thrilling, Modern, Grand",https://maps.app.goo.gl/bjuvW7UNJrV6hbhVA
tae,R014,Kor Panich,Restaurant,Street Food,,The best Mango Sticky Rice using a 90-year-old recipe.,"Sweet, Rich, Heritage",https://maps.app.goo.gl/GhpGLXprEtvdiiPg9
tae,A015,Baan Silapin,Attraction,Culture,,Artist's House with traditional Thai puppet shows by canal.,"Quiet, Cultural, Vintage",https://maps.app.goo.gl/2ouLD6bkruVsB1WG6
